#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=E: Sehr geehrte Frau Kreis, ich hoffe Ihnen geht es gut.
14-5	1064-1074	vielfältig	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[38]	*[38]	Strukturieren[38]	*[38]	
14-6	1075-1079	sein	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[38]	*[38]	Strukturieren[38]	*[38]	
14-7	1079-1080	.	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[38]	*[38]	Strukturieren[38]	*[38]	

#Text=Dass das gestiegene Niveau seit dem letzten Schuljahr ein Grund für Samaras Probleme ist, ist auch für mich denkbar.
15-1	1081-1085	Dass	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-2	1086-1089	das	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-3	1090-1100	gestiegene	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-4	1101-1107	Niveau	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-5	1108-1112	seit	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-6	1113-1116	dem	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-7	1117-1124	letzten	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-8	1125-1134	Schuljahr	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-9	1135-1138	ein	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-10	1139-1144	Grund	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-11	1145-1148	für	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-12	1149-1156	Samaras	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-13	1157-1165	Probleme	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-14	1166-1169	ist	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-15	1169-1170	,	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-16	1171-1174	ist	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-17	1175-1179	auch	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-18	1180-1183	für	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-19	1184-1188	mich	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-20	1189-1196	denkbar	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	
15-21	1196-1197	.	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[39]	Paraphrasieren[39]	*[39]	*[39]	

#Text=Der Englischunterricht der 4. Klasse erfordert mehr eigenständiges Anwenden von Sprache und weniger Nachsprechen und Auswendiglernen.
16-1	1198-1201	Der	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-2	1202-1220	Englischunterricht	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-3	1221-1224	der	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-4	1225-1226	4	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-5	1226-1227	.	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-6	1228-1234	Klasse	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-7	1235-1244	erfordert	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-8	1245-1249	mehr	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-9	1250-1264	eigenständiges	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-10	1265-1273	Anwenden	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-11	1274-1277	von	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-12	1278-1285	Sprache	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-13	1286-1289	und	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-14	1290-1297	weniger	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-15	1298-1310	Nachsprechen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-16	1311-1314	und	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-17	1315-1330	Auswendiglernen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	
16-18	1330-1331	.	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[40]	*[40]	Strukturieren[40]	*[40]	

#Text=Haben Sie mit Ihrer Tochter schon über ihre Leistungen gesprochen?
17-1	1332-1337	Haben	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-2	1338-1341	Sie	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-3	1342-1345	mit	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-4	1346-1351	Ihrer	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-5	1352-1359	Tochter	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-6	1360-1365	schon	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-7	1366-1370	über	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-8	1371-1375	ihre	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-9	1376-1386	Leistungen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-10	1387-1397	gesprochen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	
17-11	1397-1398	?	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[41]	*[41]	*[41]	Weiterführende Frage[41]	

#Text=E: Ich habe bereits mit meiner Tochter gesprochen, sie würde sich ebenfalls gerne verbessern.
18-1	1399-1400	E	_	_	_	_	_	_	_	_	_	_	_	
18-2	1400-1401	:	_	_	_	_	_	_	_	_	_	_	_	
18-3	1402-1405	Ich	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-4	1406-1410	habe	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-5	1411-1418	bereits	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-6	1419-1422	mit	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-7	1423-1429	meiner	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-8	1430-1437	Tochter	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-9	1438-1448	gesprochen	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-10	1448-1449	,	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-11	1450-1453	sie	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-12	1454-1459	würde	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-13	1460-1464	sich	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-14	1465-1474	ebenfalls	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-15	1475-1480	gerne	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-16	1481-1491	verbessern	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
18-17	1491-1492	.	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	

#Text=Gerade in den Bereichen Vokabeln und Grammatik meinte Sie selbst benötige sie Übungsbedarf.
19-1	1493-1499	Gerade	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-2	1500-1502	in	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-3	1503-1506	den	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-4	1507-1516	Bereichen	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-5	1517-1525	Vokabeln	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-6	1526-1529	und	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-7	1530-1539	Grammatik	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-8	1540-1546	meinte	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-9	1547-1550	Sie	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-10	1551-1557	selbst	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-11	1558-1566	benötige	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-12	1567-1570	sie	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-13	1571-1583	Übungsbedarf	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
19-14	1583-1584	.	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	

#Text=Können Sie da Förderprogarmme einrichten?
20-1	1585-1591	Können	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
20-2	1592-1595	Sie	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
20-3	1596-1598	da	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
20-4	1599-1614	Förderprogarmme	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
20-5	1615-1625	einrichten	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
20-6	1625-1626	?	*[9]	*[9]	Argumentationsphase[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	

#Text=L: Ich freue mich, dass auch von Seiten Ihrer Tochter und von ihnen aus die Bereitschaft besteht, die Leistungen zu verbessern.
21-1	1627-1628	L	_	_	_	_	_	_	_	_	_	_	_	
21-2	1628-1629	:	_	_	_	_	_	_	_	_	_	_	_	
21-3	1630-1633	Ich	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-4	1634-1639	freue	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-5	1640-1644	mich	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-6	1644-1645	,	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-7	1646-1650	dass	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-8	1651-1655	auch	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-9	1656-1659	von	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-10	1660-1666	Seiten	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-11	1667-1672	Ihrer	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-12	1673-1680	Tochter	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-13	1681-1684	und	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-14	1685-1688	von	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-15	1689-1694	ihnen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-16	1695-1698	aus	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-17	1699-1702	die	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-18	1703-1715	Bereitschaft	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-19	1716-1723	besteht	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-20	1723-1724	,	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-21	1725-1728	die	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-22	1729-1739	Leistungen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-23	1740-1742	zu	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-24	1743-1753	verbessern	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	
21-25	1753-1754	.	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[42]	*[42]	*[42]	Statement[42]	

#Text=Gern berate ich Sie zu verschiedenen Fördermöglichkeiten und -programmen, von denen Ihre Tochter profitieren kann.
22-1	1755-1759	Gern	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-2	1760-1766	berate	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-3	1767-1770	ich	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-4	1771-1774	Sie	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-5	1775-1777	zu	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-6	1778-1791	verschiedenen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-7	1792-1811	Fördermöglichkeiten	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-8	1812-1815	und	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-9	1816-1817	-	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-10	1817-1827	programmen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-11	1827-1828	,	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-12	1829-1832	von	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-13	1833-1838	denen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-14	1839-1843	Ihre	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-15	1844-1851	Tochter	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-16	1852-1863	profitieren	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-17	1864-1868	kann	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	
22-18	1868-1869	.	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[43]	*[43]	Strukturieren[43]	*[43]	

#Text=E: Vielen Dank dafür!
23-1	1870-1871	E	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	_	_	_	_	
23-2	1871-1872	:	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	_	_	_	_	
23-3	1873-1879	Vielen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	_	_	_	_	
23-4	1880-1884	Dank	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	_	_	_	_	
23-5	1885-1890	dafür	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	_	_	_	_	
23-6	1890-1891	!	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	_	_	_	_	

#Text=Wie würden denn die Förderprogramme aussehen und würde die Möglichkeit bestehen, dass Sie den Unterricht anders, quasi so gestalten, dass Sie nicht so schnell vom einen Thema zum anderen ,,springen", da meine Tochter der Meinung ist der Unterricht verläuft zu schnell und sie kommt nicht hinterher.
24-1	1892-1895	Wie	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-2	1896-1902	würden	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-3	1903-1907	denn	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-4	1908-1911	die	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-5	1912-1927	Förderprogramme	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-6	1928-1936	aussehen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-7	1937-1940	und	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-8	1941-1946	würde	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-9	1947-1950	die	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-10	1951-1962	Möglichkeit	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-11	1963-1971	bestehen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-12	1971-1972	,	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-13	1973-1977	dass	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-14	1978-1981	Sie	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-15	1982-1985	den	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-16	1986-1996	Unterricht	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-17	1997-2003	anders	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-18	2003-2004	,	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-19	2005-2010	quasi	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-20	2011-2013	so	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-21	2014-2023	gestalten	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-22	2023-2024	,	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-23	2025-2029	dass	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-24	2030-2033	Sie	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-25	2034-2039	nicht	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-26	2040-2042	so	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-27	2043-2050	schnell	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-28	2051-2054	vom	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-29	2055-2060	einen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-30	2061-2066	Thema	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-31	2067-2070	zum	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-32	2071-2078	anderen	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
24-33	2079-2080	,	*[10]	*[10]	*[10]	Beschlussphase[10]	*[10]	*[10]	*[10]	*[44]	*[44]	*[44]	Weiterführende Frage[44]	
